# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	482
#@/user_id	6d88d04c-81af-4f7f-b919-dba7c1a0b662
a 	啊	c=1 d=0.856415 t=482
an 	按	c=2 d=1.99501 t=476
ba 	吧	c=2 d=1.38821 t=482
ba 	把	c=4 d=1.93337 t=482
bang 	棒	c=2 d=1.34751 t=482
bang ding 	綁定	c=2 d=1.60894 t=482
bao cun 	保存	c=2 d=1.22832 t=482
bei 	倍	c=1 d=0.458406 t=482
bei fen 	備份	c=4 d=3.26679 t=482
bei jing 	北京	c=1 d=0.680451 t=482
bi xu 	必須	c=2 d=1.35751 t=482
bian geng 	變更	c=2 d=1.90722 t=482
biao 	表	c=6 d=4.85704 t=482
biao jia 	標價	c=2 d=1.99501 t=480
biao zhun 	標準	c=2 d=0.916926 t=482
bie ming 	別名	c=2 d=0.942376 t=482
bing bing 	冰冰	c=2 d=1.33063 t=482
bu chi 	不喫	c=2 d=0.88307 t=482
bu hao chi 	不好喫	c=2 d=0.891945 t=482
bu qu 	不去	c=1 d=0.810584 t=482
bu shi 	不是	c=4 d=3.12272 t=482
bu xi huan 	不喜歡	c=2 d=1.59305 t=482
bu yong 	不用	c=1 d=0.433812 t=482
bu yong mai 	不用買	c=1 d=0.394554 t=482
bu zhi dao 	不知道	c=3 d=1.43494 t=482
cai 	採	c=1 d=0.778688 t=482
cai gou 	採購	c=4 d=2.87578 t=482
cai jiao 	纔叫	c=1 d=0.683861 t=482
cai xiao mo shi 	採銷模式	c=3 d=2.49333 t=482
can 	參	c=1 d=0.97531 t=482
ce 	側	c=2 d=0.919109 t=482
ce shi 	測試	c=7 d=4.06152 t=482
cha 	叉	c=29 d=23.0389 t=482
cha 	查	c=5 d=2.60024 t=482
cha bu duo 	差不多	c=1 d=0.496585 t=482
cha cha 	叉叉	c=11 d=9.54323 t=482
cha xun 	查詢	c=2 d=1.08399 t=482
chan pin 	產品	c=2 d=1.99501 t=477
chu fa 	觸發	c=1 d=0.597501 t=482
chuo 	戳	c=2 d=1.68312 t=482
chuo song 	戳送	c=1 d=0.771052 t=482
ci 	次	c=2 d=1.99501 t=471
ci ku 	詞庫	c=1 d=0.960789 t=482
cong 	從	c=4 d=3.40944 t=482
cun 	寸	c=2 d=1.99501 t=464
da 	大	c=2 d=1.19107 t=482
da gai 	大概	c=1 d=0.486752 t=482
da huo 	大活	c=2 d=1.80067 t=482
da huo 	大火	c=1 d=0.88692 t=482
da kai 	打開	c=2 d=1.99501 t=475
da lao 	大佬	c=5 d=2.73039 t=482
da rui 	大蕊	c=7 d=3.88491 t=482
da te 	大特	c=5 d=3.80507 t=482
dai 	帶	c=2 d=0.807065 t=482
dai 	待	c=2 d=1.02598 t=482
dai ma 	代碼	c=1 d=0.737123 t=482
dan shi 	但是	c=0 d=0.0449329 t=482
dang 	當	c=2 d=1.65806 t=482
dang qian 	當前	c=6 d=2.19656 t=482
dao 	到	c=8 d=4.35773 t=482
dao la 	倒拉	c=1 d=0.878095 t=482
de 	的	c=18 d=7.92513 t=482
den 	㩐	c=1 d=0.852144 t=482
di 	低	c=1 d=1 t=472
di pei 	低配	c=1 d=1 t=472
dian nao 	電腦	c=1 d=0.615697 t=482
diao 	叼	c=4 d=3.85515 t=482
diao 	掉	c=1 d=0.767206 t=482
die 	跌	c=2 d=1.58116 t=482
die dao 	跌到	c=2 d=0.771552 t=482
ding shi 	定時	c=2 d=1.24689 t=482
dou 	逗	c=1 d=0.97531 t=482
dou de 	都得	c=2 d=1.83244 t=482
dou mao bang 	逗貓棒	c=3 d=2.9415 t=482
duan 	端	c=1 d=0.618783 t=482
duan yu 	短語	c=3 d=2.75008 t=482
dui 	對	c=5 d=1.65559 t=482
dui hao 	對號	c=1 d=0.782705 t=482
duo 	多	c=2 d=1.59305 t=482
e 	鵝	c=1 d=0.814647 t=482
en en 	嗯嗯	c=2 d=1.99501 t=478
fa 	法	c=1 d=0.582748 t=482
fa 	發	c=1 d=0.579842 t=482
fa bu 	發佈	c=2 d=1.91678 t=482
fa wo 	發我	c=1 d=0.878095 t=482
fan hui 	返回	c=6 d=3.85251 t=482
fan hui zhi 	返回值	c=2 d=0.831644 t=482
fang an 	方案	c=1 d=1.035 t=482
fen 	分	c=2 d=1.75181 t=482
fen ju 	分居	c=2 d=1.73438 t=482
feng zhuang 	封裝	c=2 d=1.95551 t=482
fou 	否	c=2 d=1.99501 t=482
gai 	改	c=4 d=2.87697 t=482
gai xia 	改下	c=2 d=1.2222 t=482
